RK,Player,Pos,Team,Bye,ADP,Tier,P50,P75,P90,150+,200+,250+,300+,350+,DT,OU_PassYds,OU_PassTDs,OU_RushYds,OU_RushTDs,OU_RecYds,OU_RecTDs,Odds_MostPassYds,Odds_MostPassTDs,Odds_MostRushYds,Odds_MostRushTDs,Odds_MostRecYds,Odds_MostRecTDs,PassYds,PassTDs,RushYds,RushTDs,RecYds,Rec,RecTDs,#1,Top3,Top5,Top12
154,Jalen Nailor,WR,LV,13,169,Speculative,100,113,125,0.5,0.0,0.0,0.0,0.0,1.005,,,,,,,,,,,+30000,+20000,,,4,0,459,30,4,0.0,0.0,0.0,0.0
155,Terrance Ferguson,TE,LAR,11,169,Speculative,91,105,120,0.3,0.0,0.0,0.0,0.0,1,,,,,,,,,,,+50000,+20000,,,,,329,29,2.4,0.0,0.0,0.0,0.3
156,Jordan Love,QB,GB,11,170,Good,264,298,333,97.0,94.4,61.8,23.6,5.4,1.12,3525.5,24.5,,,,,+2333,+2000,,,,,3526,24.5,192,1,,,,0.7,3.8,8.1,30.3
157,Deebo Samuel,WR,FA,,172,Speculative,126,142,158,16.0,0.7,0.0,0.0,0.0,1.23,,,,,,,,,,,,,,,180,0.9,452,37,3.4,0.0,0.0,0.0,0.1
158,Travis Hunter,WR,JAX,7,173,Speculative,99,111,124,0.3,0.0,0.0,0.0,0.0,1,,,,,,,,,,,+30000,+30000,,,,,424,40,2.7,0.0,0.0,0.0,0.0
159,Omar Cooper,WR,NYJ,13,174,Speculative,120,136,151,10.2,0.2,0.0,0.0,0.0,1,,,,,550.5,3.5,,,,,+25000,+25000,,,,,551,44,3.5,0.0,0.0,0.0,0.0
160,Tre Tucker,WR,LV,13,176,Speculative,133,151,169,26.3,1.5,0.0,0.0,0.0,1.069,,,,,575.5,,,,,,+15000,+20000,,,69,0.3,576,45,3.7,0.0,0.0,0.0,0.2
161,Malik Willis,QB,MIA,6,181,Speculative,180,203,225,77.8,28.1,2.8,0.2,0.0,1,3050.5,14.5,,,,,+8000,+10000,+25000,+15000,,,3051,14.5,,,,,,0.0,0.0,0.0,0.3
162,John Metchie,WR,CAR,5,186,Speculative,133,151,168,26.1,1.5,0.0,0.0,0.0,0.993,,,,,,,,,,,,,,,,,569,55,3.6,0.0,0.0,0.0,0.2
163,Adonai Mitchell,WR,NYJ,13,190,Speculative,108,121,135,1.9,0.1,0.0,0.0,0.0,0.996,,,,,,,,,,,+25000,+25000,,,,,503,37,3.4,0.0,0.0,0.0,0.0
164,Tre' Harris,WR,LAC,7,191,Speculative,147,164,182,45.1,4.0,0.1,0.0,0.0,1.015,,,,,,,,,,,+15000,+20000,,,16,0.1,630,58,3.9,0.0,0.0,0.0,0.6
165,Jake Tonges,TE,SF,8,191,Average,126,146,167,21.8,1.8,0.2,0.0,0.0,1,,,,,,,,,,,,,,,,,405,47,2.4,0.0,0.3,0.9,10.2
166,Pat Freiermuth,TE,PIT,9,192,Speculative,122,142,162,17.9,1.4,0.1,0.0,0.0,1,,,,,450.5,,,,,,+30000,+20000,,,,,451,42,2.4,0.0,0.3,0.8,7.8
167,Sam Darnold,QB,SEA,11,194,Good,277,310,343,97.0,96.6,71.1,32.2,8.4,1.167,3700.5,23.5,,,,,+2000,+2500,,,,,3701,23.5,264,1.3,,,,1.2,5.5,10.8,40.0
168,Cade Otton,TE,TB,10,194,Speculative,123,143,163,18.6,1.3,0.1,0.0,0.0,1,,,,,425.5,,,,,,+30000,+20000,,,,,426,44,2.4,0.1,0.2,0.7,7.9
169,Ryan Flournoy,WR,DAL,14,194,Speculative,101,114,128,0.7,0.0,0.0,0.0,0.0,1.022,,,,,,,,,,,+30000,+50000,,,16,0.1,474,41,1.7,0.0,0.0,0.0,0.0
170,Tank Dell,WR,HOU,8,195,Speculative,112,126,141,3.8,0.0,0.0,0.0,0.0,1.032,,,,,,,,,,,+25000,+25000,,,28,0.1,511,37,3.4,0.0,0.0,0.0,0.0
171,Eli Stowers,TE,PHI,10,196,Average,126,147,167,22.3,2.0,0.2,0.0,0.0,1,,,,,,,,,,,,,,,,,481,42,2.4,0.0,0.3,1.0,10.4
172,De'Zhaun Stribling,WR,SF,8,196,Speculative,116,131,145,6.3,0.1,0.0,0.0,0.0,1,,,,,,,,,,,,,,,,,527,42,3.6,0.0,0.0,0.0,0.0
173,Jerry Jeudy,WR,CLE,11,197,Speculative,131,147,165,22.0,0.9,0.0,0.0,0.0,1.005,,,,,625.5,,,,,,+20000,+20000,,,4,0,626,46,3.7,0.0,0.0,0.0,0.2
174,Jauan Jennings,WR,MIN,6,197,Speculative,112,127,140,4.1,0.1,0.0,0.0,0.0,1,,,,,,,,,,,+30000,+15000,,,,,464,37,4.8,0.0,0.0,0.0,0.0
175,Bryce Young,QB,CAR,5,198,Average,247,278,312,97.0,89.3,47.4,14.1,2.4,1.268,3100.5,20.5,,,,,+8000,+5000,,,,,3101,20.5,326,1.6,,,,0.4,1.6,3.9,18.4
176,Isaac TeSlaa,WR,DET,6,199,Speculative,106,119,133,1.4,0.0,0.0,0.0,0.0,1,,,,,,,,,,,+30000,+25000,,,,,472,38,3.5,0.0,0.0,0.0,0.0
177,Daniel Jones,QB,IND,13,203,Average,238,268,298,97.0,83.9,38.8,9.6,1.4,1.372,,,,,,,+5000,+4000,,,,,2623,17.2,498,2.5,,,,0.1,0.8,2.3,13.3
178,David Njoku,TE,LAC,7,204,Average,136,159,180,33.3,3.8,0.3,0.1,0.0,1,,,,,,,,,,,,,,,,,481,49,2.4,0.1,0.5,2.0,17.2
179,Malik Washington,WR,MIA,6,208,Speculative,155,174,194,55.0,7.0,0.3,0.0,0.0,1.178,,,,,,,,,,,+25000,+15000,,,152,0.8,470,63,4.4,0.0,0.0,0.0,1.3
180,Cam Ward,QB,TEN,9,209,Average,233,262,292,96.7,80.4,34.3,7.9,1.2,1.161,3300.5,18.5,,,,,+4000,+6600,,,,,3301,18.5,204,1,,,,0.2,0.8,1.8,10.7
181,Brandon Aiyuk,WR,SF,8,209,Speculative,99,112,125,0.5,0.0,0.0,0.0,0.0,1.031,,,,,,,,,,,,,,,25,0.1,447,29,3.8,0.0,0.0,0.0,0.0
182,Caleb Douglas,WR,MIA,6,209,Speculative,100,112,125,0.4,0.0,0.0,0.0,0.0,1,,,,,,,,,,,+30000,+25000,,,,,444,36,3.3,0.0,0.0,0.0,0.0
